id_arbol,direccion,tipo_vereda,lado_vereda,especie,tipo_tendido,distancia_entre_ar,distancia_al_muro,activo,lng,lat
1426,Tucumán 1492,Grande,Par,Fresno,Alta tensión (Con Protección),32.0,3.5,True,-58.8420961247109,-27.474007202121
1428,Santa Fe 1155,Mediana,Impar,Ficus,Alta tensión (Con Protección),4.0,2.0,True,-58.830781012304,-27.471023469489
1430,Tucumán 1430,Grande,Par,Ñangapirí,Alta tensión (Con Protección),6.0,3.0,True,-58.842085967244,-27.472969851205
1400,AV 3 ABRIL 300,Grande,Impar,Jazmín magno,Subterraneo,11.0,4.0,True,-58.847301273085,-27.474182644325
1383,Bolívar 850,Grande,Par,Naranjo agrio,Ninguno,8.0,0.0,True,-58.840350533239,-27.4706837997899
1431,Santa Fe 1179,Mediana,Impar,Tulipanero,Alta tensión (Con Protección),6.0,2.0,True,-58.8308015919829,-27.4711700022729
1432,Santa Fe 1181,Mediana,Impar,Tulipanero,Alta tensión (Con Protección),6.0,2.0,True,-58.830785660868,-27.471191105839
1436,Bolivar  1619,Mediana,Impar,Palmera,Alta tensión (Con Protección),3.5,2.0,True,-58.8306171329769,-27.4714649338969
1438,Mariano Moreno 688,Grande,Par,Pata de Buey,Alta tensión (Con Protección),48.0,2.5,True,-58.8422937815839,-27.4727819560689
1439,Bolivar 1619,Mediana,Impar,Palmera,Alta tensión (Con Protección),3.5,2.0,True,-58.830510177123,-27.471495107961
1440,Moreno 669,Grande,Impar,Thevetia,Alta tensión (Con Protección),3.0,3.5,True,-58.842568434911,-27.472691423577
1441,Moreno 669,Grande,Impar,Paraíso,Media Tensión (Sin Protección),8.0,3.0,True,-58.842232909439,-27.4726744366769
1442,Bolivar 1619,Mediana,Impar,Palmera,Alta tensión (Con Protección),3.5,2.0,True,-58.830511221473,-27.471472177786
1443,Moreno 655,Grande,Impar,Pata de Buey,Media Tensión (Sin Protección),5.0,3.0,True,-58.842641185235,-27.4728570735519
1444,Moreno 643,Grande,Impar,Palmera,Alta tensión (Con Protección),2.0,3.5,True,-58.8428401592409,-27.4726149308879
1446,Mariano Moreno 644,Chica,Par,Ficus,Alta tensión (Con Protección),38.0,2.5,True,-58.842758080449,-27.4727139277759
1447,Moreno 625,Chica,Impar,Palmera,Alta tensión (Con Protección),2.0,3.5,True,-58.8430243457249,-27.472572904094
1450,Moreno 615,Grande,Impar,Palmera,Alta tensión (Con Protección),5.0,3.5,True,-58.843148843895,-27.472548432823
1451,Moreno 615,Mediana,Impar,Palmera,Media Tensión (Sin Protección),2.0,3.5,True,-58.843288485522,-27.4726265943319
1452,San luis 1400,Grande,Impar,Lapacho amarillo,Alta tensión (Con Protección),10.0,4.0,True,-58.843368473935,-27.472756237754
1453,San Luis 1413,Grande,Impar,Lapacho amarillo,Media Tensión (Sin Protección),13.0,4.0,True,-58.843371859679,-27.47292959658
1454,Bolivar 1681,Mediana,Impar,Limpiatubos,Alta tensión (Con Protección),38.0,2.0,True,-58.829788417308,-27.4716002462
1455,SAN Luis 1413,Grande,Impar,Fresno,Alta tensión (Con Protección),7.0,4.0,True,-58.8433865479869,-27.472893162266
1457,SAN Luis 1415,Grande,Impar,Lapacho rosado,Alta tensión (Con Protección),3.0,3.5,True,-58.843417010762,-27.4731006939879
1458,San Luis 1429,Grande,Impar,Ñangapirí,Media Tensión (Con Protección),6.0,4.0,True,-58.8433596814809,-27.4733090291
1459,SAN luis 1429,Grande,Impar,Paraíso,Alta tensión (Con Protección),13.0,3.0,True,-58.843429731919,-27.473359386098
1460,San Luis 1497,Grande,Impar,Fresno,Media Tensión (Sin Protección),3.0,3.0,True,-58.8433718957859,-27.473372745769
1463,SAN Luis 1471,Grande,Impar,Ceibo,Alta tensión (Con Protección),38.0,4.0,True,-58.843441165858,-27.473518226288
1464,San Luis 1497,Mediana,Impar,Fresno,Alta tensión (Con Protección),1.5,2.5,True,-58.843438243637,-27.473667913976
1465,San Luis 1497,Grande,Impar,Fresno,Media Tensión (Con Protección),3.0,6.0,True,-58.843472117791,-27.4738381409849
1466,San Luis 1351,Mediana,Impar,Ñangapirí,Alta tensión (Con Protección),11.0,2.5,True,-58.8432879271709,-27.4723717050769
1467,San Luis 1351,Grande,Impar,Ñangapirí,Media Tensión (Sin Protección),10.0,2.0,True,-58.8433182334579,-27.472328922056
1468,SAN Luis 1345,Mediana,Impar,Ceibo,Alta tensión (Con Protección),13.0,2.5,True,-58.8432950684269,-27.4720697609819
1469,San Martín 1592,Mediana,Par,Palito dulce,Alta tensión (Con Protección),30.0,2.0,True,-58.830989090051,-27.4704231175099
1470,San Luis 1341,Mediana,Impar,Fresno,Media Tensión (Sin Protección),12.0,2.0,True,-58.843306697399,-27.4721493309929
1471,San Luis 1325,Mediana,Impar,Palmera,Alta tensión (Con Protección),12.0,2.5,True,-58.843255578158,-27.47180670675
1472,SAN Luis 1325,Mediana,Impar,Palmera,Alta tensión (Con Protección),14.0,3.0,True,-58.8433011033969,-27.4718387388859
1473,San Luis 1307,Grande,Par,Paraíso,Media Tensión (Sin Protección),9.0,3.0,True,-58.843260755044,-27.471751792774
1474,San Martín 1574,Mediana,Par,Limpiatubos,Alta tensión (Con Protección),36.0,2.0,True,-58.83120121902,-27.470380303801
1475,San Luis 1303,Mediana,Impar,Paraíso,Alta tensión (Con Protección),9.0,2.5,True,-58.843250567287,-27.4715861538299
1476,Belgrano 622,Grande,Par,Palmera,Media Tensión (Sin Protección),5.0,2.0,True,-58.8431103220059,-27.471577283247
1478,Belgrano 622,Grande,Par,Palmera,Alta tensión (Con Protección),38.0,3.0,True,-58.84300003188,-27.4715840377599
1479,Moreno 674,Grande,Par,Palmera,Alta tensión (Con Protección),34.0,3.0,True,-58.842349844958,-27.4716298864379
1480,Tucumán 1318,Mediana,Par,Palmera,Alta tensión (Con Protección),15.0,2.0,True,-58.842038460066,-27.471935859822
1481,Tucumán 1330,Chica,Par,Fresno,Alta tensión (Con Protección),7.0,2.0,True,-58.842041855507,-27.472027946303
1482,Tucumán 1344,Grande,Par,Paraíso,Media Tensión (Con Protección),5.0,2.0,True,-58.842036639808,-27.4720863136799
1483,Moreno 1330,Chica,Par,Aguaribay,Alta tensión (Con Protección),7.0,2.0,True,-58.842041855507,-27.472027946303
1484,Tucumán 1344,Mediana,Par,Paraíso,Media Tensión (Sin Protección),10.0,2.0,True,-58.842055462543,-27.4721592519249
1485,Tucumán 1362,Mediana,Par,Ficus,Media Tensión (Con Protección),17.0,3.0,True,-58.842059294073,-27.4724787141989
1486,San Martín 1530,Mediana,Par,Crespón,Alta tensión (Con Protección),8.0,2.0,True,-58.831565569837,-27.4703341904059
1487,Tucumán 1354,Mediana,Par,Ficus variegado,Alta tensión (Con Protección),15.0,2.0,True,-58.8420536791919,-27.4722028649019
1488,Tucumán 1378,Mediana,Par,Ficus variegado,Media Tensión (Con Protección),3.0,2.0,True,-58.842091256157,-27.4726071879449
1493,San Lorenzo 1117,Mediana,Impar,Pata de Buey,Alta tensión (Con Protección),16.0,2.0,True,-58.8320256985809,-27.4704078662079
1433,Tucumán 1414,Grande,Par,Naranjo agrio,Alta tensión (Con Protección),20.0,2.5,True,-58.842070458515,-27.4729199131679
1434,Tucumán 1414,Grande,Par,Naranjo agrio,Alta tensión (Con Protección),5.0,3.0,True,-58.842100156887,-27.472869594828
1494,San Lorenzo 1137,Mediana,Impar,Pata de Buey,Alta tensión (Con Protección),7.0,2.0,True,-58.832024827679,-27.4705766845719
1495,Bolivar  2,Grande,Impar,Fresno,Media Tensión (Sin Protección),4.0,3.0,True,-58.850898959001,-27.4699564265139
1496,San Lorenzo 1141,Mediana,Impar,Tulipanero,Alta tensión (Con Protección),19.0,2.0,True,-58.832037309431,-27.470706294864
1497,San lorenzo,Mediana,Impar,Ficus variegado,Alta tensión (Con Protección),17.0,2.0,True,-58.832048183707,-27.4707160723359
1498,Bolivar 10,Grande,Par,Fresno,Media Tensión (Sin Protección),4.0,3.0,True,-58.8508612039209,-27.4699392590679
1499,San Lorenzo 1165,Mediana,Impar,Fresno,Alta tensión (Con Protección),13.0,2.0,True,-58.832076696675,-27.4710281529029
1501,Bolivar 10,Grande,Par,Fresno,Media Tensión (Sin Protección),3.0,3.0,True,-58.850810609489,-27.4699350978659
1502,San Lorenzo 1185,Mediana,Impar,Ficus variegado,Alta tensión (Con Protección),4.0,2.0,True,-58.8320899004849,-27.471180910754
1503,San Lorenzo 1187,Mediana,Impar,Pata de Buey,Alta tensión (Con Protección),5.0,2.0,True,-58.8321083704069,-27.4712130999749
1504,Bolivar 20,Grande,Par,Fresno,Media Tensión (Sin Protección),4.0,3.0,True,-58.850728954116,-27.469959171412
1505,Bolivar 20,Grande,Par,Ficus variegado,Media Tensión (Sin Protección),3.0,3.0,True,-58.850684009225,-27.4699443145729
1507,Bolivar y san lorenzo,Mediana,Impar,Pata de Buey,Alta tensión (Con Protección),15.0,2.0,True,-58.8320682063829,-27.471330837764
1508,Bolivar 1523,Mediana,Impar,Pata de Buey,Alta tensión (Con Protección),15.0,2.0,True,-58.83182598668,-27.471347783544
1509,Bolivar 30,Grande,Par,Fresno,Media Tensión (Sin Protección),3.0,3.0,True,-58.85063439169,-27.469946379907
1510,Bolivar 30,Grande,Par,Fresno,Media Tensión (Sin Protección),6.0,3.0,True,-58.850591218264,-27.469948024116
1511,Bolivar 1545,Mediana,Impar,Sin identificar,Alta tensión (Con Protección),36.0,2.0,True,-58.831591788193,-27.471385836993
1512,Bolivar 40,Grande,Par,Sauce llorón,Media Tensión (Sin Protección),7.0,3.0,True,-58.8505470684909,-27.4699512415309
1514,Bolivar 50,Grande,Par,Fresno,Media Tensión (Sin Protección),8.0,3.0,True,-58.850425546516,-27.469963981629
1515,Santa Fe 1182,Mediana,Par,Ficus variegado,Alta tensión (Con Protección),9.0,1.2,True,-58.8309100721609,-27.471200124504
1516,Bolivar 60,Grande,Par,Fresno,Media Tensión (Sin Protección),7.0,3.0,True,-58.850366194636,-27.469967083789
1518,Bolivar 60,Grande,Par,Fresno,Media Tensión (Sin Protección),9.0,3.0,True,-58.850323371644,-27.469969385668
1519,Santa Fe 1170,Mediana,Par,Ficus variegado,Alta tensión (Con Protección),6.0,2.0,True,-58.8308929124469,-27.471072524071
1520,Bolivar 70,Grande,Par,Fresno,Media Tensión (Sin Protección),9.0,3.0,True,-58.850280831582,-27.4699729336579
1523,Bolivar 90,Grande,Par,Ficus,Media Tensión (Sin Protección),3.0,3.0,True,-58.8497440496309,-27.470027940592
1525,Don Bosco 1200,Mediana,Par,Mora,Media Tensión (Sin Protección),19.0,3.0,True,-58.8495962626159,-27.47011919014
