gid,nombre_plaza,ordenanza,clasificacion,id_barrios,nombre_barrio,ubicacion,st_asgeojson
15,ROTONDA DE LA VIRGEN,S/D,ESPACIO VERDE,44,JOSE MARIA PONCE,INDEPENDENCIA-TRENTO,"{""type"":""Polygon"",""coordinates"":[[[-58.7825550218678,-27.4846431005643],[-58.7825998715043,-27.4846084455311],[-58.7826323530544,-27.4845699931132],[-58.7826670040934,-27.4845223366806],[-58.7826923182209,-27.4844773654722],[-58.7827115801302,-27.4844185068542],[-58.782723542826,-27.4843651181844],[-58.7827273852172,-27.4842978240224],[-58.7827208668337,-27.4842322838433],[-58.7827008449876,-27.4841721593534],[-58.7826664479019,-27.4841026861516],[-58.7826215278504,-27.4840497222709],[-58.782562242248,-27.4840070704832],[-58.7825106824131,-27.4839731242728],[-58.782454780868,-27.4839478988339],[-58.7823694339441,-27.4839340744443],[-58.782278498773,-27.4839277451035],[-58.7821977823372,-27.4839325726898],[-58.7821252165211,-27.4839485391245],[-58.7820545564458,-27.4839792789663],[-58.7819942165042,-27.4840119536786],[-58.7819419053805,-27.4840668337801],[-58.7818998737964,-27.4841273376118],[-58.7818724609009,-27.4841750571985],[-58.781846994307,-27.4842338613891],[-58.7818336521369,-27.4843185960334],[-58.7818308939909,-27.4843812881572],[-58.7818573546517,-27.4844667678924],[-58.7819196783171,-27.4845831261499],[-58.7819645880828,-27.4846370124585],[-58.7820220485736,-27.4846780964121],[-58.7821208509403,-27.484721386694],[-58.7822201305475,-27.4847346574601],[-58.7823203319072,-27.4847314327297],[-58.7824084698735,-27.4847100686461],[-58.7824967396585,-27.4846767157838],[-58.7825550218678,-27.4846431005643]]]}"
39,S/N,S/D,ESPACIO DEPORTIVO,3,9 DE JULIO,PITAGORAS-DR. MIGUEL SUSSINI,"{""type"":""Polygon"",""coordinates"":[[[-58.800558265195,-27.4923713573541],[-58.8005193403842,-27.4927047700463],[-58.8008833713113,-27.4927351885768],[-58.8009170779621,-27.4924013400974],[-58.800558265195,-27.4923713573541]]]}"
47,ELI VERON,7275,ESPACIO VERDE,20,CIUDAD DE ESTEPA,PATAGONIA ENTRE JOSE MANUEL ESTRADA Y DR. VALERIO BONASTRE,"{""type"":""Polygon"",""coordinates"":[[[-58.8308276434037,-27.4911061030905],[-58.8301608360522,-27.4915927354984],[-58.8301170722579,-27.4915888368574],[-58.8298647054996,-27.4917730109984],[-58.830163598774,-27.4917225756261],[-58.830154136467,-27.4916779825045],[-58.8303089960515,-27.4916518515497],[-58.8302987357215,-27.4915851606217],[-58.8303817270662,-27.4915728941899],[-58.8303908624464,-27.4916380373664],[-58.8309215112526,-27.4915484941161],[-58.8308276434037,-27.4911061030905]]]}"
40,S/N,S/D,PLAZOLETA,3,9 DE JULIO,FRAY C. RODRIGUEZ-CORCEGA,"{""type"":""Polygon"",""coordinates"":[[[-58.7982335878509,-27.4892036003976],[-58.7982814406695,-27.4895401908195],[-58.7982832228714,-27.4895527247552],[-58.7985392069667,-27.4895025689691],[-58.7984682896817,-27.4892141474174],[-58.7982335878509,-27.4892036003976]]]}"
42,S/N,S/D,PLAZA,20,CIUDAD DE ESTEPA,COSQUIN- JOSE MANUEL ESTRADA,"{""type"":""Polygon"",""coordinates"":[[[-58.8305860962348,-27.4935883132494],[-58.8306395948685,-27.4938404499645],[-58.8315512432191,-27.4937169779096],[-58.8315416894318,-27.4936478004814],[-58.8316582248017,-27.4936254438007],[-58.8316475539135,-27.4935346063612],[-58.8317514178217,-27.4935191806422],[-58.8317161730056,-27.4933530834173],[-58.8313960561099,-27.49340710191],[-58.8314051797359,-27.4934500995328],[-58.8311452600233,-27.4934939594458],[-58.8305860962348,-27.4935883132494]]]}"
43,S/N,S/D,ESPACIO VERDE,20,CIUDAD DE ESTEPA,PATAGONIA-JOSE MANUEL ESTRADA-COSQUIN-B.CIUDAD DE ESTEPA,"{""type"":""Polygon"",""coordinates"":[[[-58.8310258127138,-27.4929054388009],[-58.8310755696413,-27.4931399327012],[-58.8312432830163,-27.4931116320337],[-58.8311935257414,-27.4928771381818],[-58.8310258127138,-27.4929054388009]]]}"
1089,S/N,,PLAZA,300,SANTA CATALINA,,"{""type"":""Polygon"",""coordinates"":[[[-58.8130612709004,-27.5211871775712],[-58.8124623741549,-27.5212765399995],[-58.8125951823667,-27.5219669868287],[-58.8131870285772,-27.5218798463055],[-58.8130612709004,-27.5211871775712]]]}"
1090,S/N,,PLAZA,300,SANTA CATALINA,,"{""type"":""Polygon"",""coordinates"":[[[-58.8128307398485,-27.5243319901599],[-58.8122318247888,-27.5244213519046],[-58.812465707226,-27.5256672132117],[-58.8130646289298,-27.5255778506824],[-58.8128307398485,-27.5243319901599]]]}"
1091,S/N,,PLAZA,300,SANTA CATALINA,,"{""type"":""Polygon"",""coordinates"":[[[-58.8101744319185,-27.5230816247302],[-58.8095755240077,-27.5231709752112],[-58.8098093742309,-27.5244168401747],[-58.8104082887857,-27.5243274889098],[-58.8101744319185,-27.5230816247302]]]}"
48,S/N,S/D,ESPACIO VERDE,20,CIUDAD DE ESTEPA,MATIAS PIPET ENTRE PJE. TEMPERLEY Y PATAGONIA-B. CIUDAD DE ESTEPA,"{""type"":""Polygon"",""coordinates"":[[[-58.8318633987516,-27.4911900114139],[-58.8319074250908,-27.4914121404775],[-58.8321114739628,-27.4913799759209],[-58.8319902305283,-27.49117001883],[-58.8318633987516,-27.4911900114139]]]}"
